,overall,reviewerID,asin,reviewText,summary,vote,newReviewTime
10,4,AKFFYVWZG8FNY,B000W4RFBQ,"I really did enjoy this book.  It is a book you need to read with your heart wide open. The only reason I gave it a 4, instead of 5 stars,is that the ending felt incomplete. I  want to know what happened 5 or 10 years down the road. I want to know how everything that happened in this story played into Lilys future. Considering that the author talks about how many people have asked for a sequel, I am thinking that I'm not the only one who feels that way.",Thought provoking,2,2017-09-05
11,1,AGW5289KFUEP9,B000W916C0,"I can't express enough my disdain for what I call ""stupid women"" books, and this is a prime example. Faced with brutal, very recent and close to home examples of why trusting a being in the sky to protect her from danger, another in a long line of brilliant but stupid women acts totally contrary to her own safety and security and has to be rescued by a man. First of all, she's an idiot. Second, she's very prideful if she thinks her faith is somehow superior to her two friends who have been attacked.

No thanks.",Another brilliant but stupid heroine.,3,2016-04-18
12,5,A8CXVP15SSCBA,B000W916C0,"This is a superb story.  Hooked in in an kept me till the last page. I was really surprised!!! The characters are so strong and the mystery was great. I recommend for all to read. I usually read urban fantasy, fantasy  knights and gools. But this was a wonderful book and a great mystery!!!!",Not my normal read. But very good book,2,2016-04-10
13,5,A11F4UMNLH85B,B000W916C0,"I hadn't read F Kellerman in many years, about 20. I read Hangman a month ago and thought, why did I stop reading her work? So I started from the beginning, again. This book kept me coming back again and again. The characters are believable and interesting. And to see the characters relationship build and grow is awesome. However, the who done it aspect is what draws me to her books. This time I won't forget.",As good as ever!,2,2016-02-02
14,3,A2J0M8AG019ZXV,B000W93A42,I read a couple other reviews who commented that there was a seeming lack of passion between Colm and Gabrielle. I have to agree. The story was interesting and the villains truly horrid but the main reason I read Garwood's novels are for the relationships between the main characters. This one fell flat.,Not up to par,3,2017-06-18
15,3,A29A1CPI3AOYSD,B000W93A42,I enjoyed the first two in this series but this one was a bit all over the place. I really enjoy this authors writing but this book didn't have the engaging plot or steak the others did. It was an okay read,Great series,2,2016-09-04
16,4,A3626WZRKRI3XV,B000W967KQ,"Interesting read. This book is written by both Donald Trump and by Bill Zanker (founder of The Leaning Annex). Each chapter has Donald's take, then a view from Zanker on the same topic. Each is followed with a short summary of the chapter. The book was originally written in 2009 and definitely shows that Trump hasn't changed his position on topics over the past 7 years, and his personality seems the same and appears to have been written in his voice. It does give a better insight into his way of thinking in business and explains several rumors heard about him over the years. He doesn't hesitate to use names which allows the reader to get a very vivid picture of what he's talking about. Definitely worth the $2 spent. Trump appears to be a ruthless businessman, but he's also full of words of encouragement. Glad I took the time to read it. One star deducted because it needs another round of edits.",Think Big: Make it Happen in Business,2,2016-11-28
17,5,A2L7XT78YSK8AZ,B000WHVRZS,This book has been the best memoir of mental illness that I ever read . It was put together with grace and truth without harm to anyone . Excellent!!!,Excellent,2,2017-04-29
18,5,A3PGPOTK7PX1YP,B000WHVRZS,"It is estimated that one in 100 people have a form of schizophrenia. This book sheds  light on these people and other people with mental health problems. If everyone read this or a book like this we would be more sympathetic, empathetic, and kinder to those suffering from any form of mental illness. It is also helpful to clinicians to know how to help people with mental illness's in a more productive way. Thank you Elyn for your candor and for the courage it took to write this book.",Excellent book,5,2016-06-06
19,5,A3150QOEKJWEYR,B000ZN24OW,"I gave this book a 5star because it has helped me tremendously. This is my second time reading this book and my life has changed with so much richness in it. This book is so life changing if it is read with an understanding of how the Universe really works. Your desires will come to you just as you imagine them. Our minds can create anything we desire in our lives. It's a science that can not fail. If we practice a deep feeling of gratitude uniting ourselves with Devine Intelligence,all things are possible.",The Science of Getting Rich,18,2017-05-21
20,3,A2DXJMEDVQ6D62,B000ZN24OW,I read this as a research project for a book.  I was intrigued by the concept and glad to have read it but it doesn't really feature too much concrete advice.  It's kind of a roundabout treatise on the power of positive thinking and mediation.  A precursor abundance mentality text to such modern works as The Secret.,Dated but intriguing.,6,2016-10-03
21,5,A2AVU5M8YTKHCD,B0010ZGPB2,"This book bring together elements of the known, the unknown, the suspected and stories told around a campfire. I didn't know what to expect, but I couldn't put the book down. It's interwoven events move at a rapid pace. I was rooting for the characters and was sad that some of them didn't make it. If you like stories that are part fantasy, part fiction with a touch of reality you will enjoy Long Claws.",One heck of a story,2,2017-02-03
22,1,A30GI1I9ALOPL0,B0010ZGPB2,Muddled. The idea of developing multiple plotlines in parallel has been attempted by some serious authors many times but this go around misses the mark. It takes way too long to establish what the various sects are up to and the reveal is underwhelming.,Muddled,2,2016-12-30
23,4,A13Z2US083N0QW,B0011UGLQK,"I think I was looking for something more clinical - a more technical text book.  As it turns out, if you've got a real struggle, trying to facilitate these 7 conversations with out that neutral 3rd party is nearly impossible.  For those of you who don't know, this is the basis of Emotionally Focused Couples Therapy in a nut shell.  The book is an easy read with lots of clinical examples - people you can relate to.  However, we don't end up in relational troubles because we are GOOD at managing our selves.  We get there because we are not.  That's where the counselor can help.  They call us out on our bull, and correct assumptions.","easy read, but the practice is not for amateurs...",5,2017-04-24
24,5,A3L5L84957OP1V,B0011UGLQK,Hold Me Tight is an excellent reference for couples and therapists. It starts by explaining that all fear and insecurity in relationships is due to fear of abandonment. It continues with good examples of couples who needed to learn to communicate and understand each other better. The combination of ideas and examples makes it a great read.,Excellent Reference for Couples and Therapists,2,2016-02-27
25,5,AAL4YTXSJQWL2,B0013TPY3A,"Read it to my husband who has extreme memory loss.  He laughed and laughed.  A wonderful compliment to Winnie the Pooh.  We were sorry when it ended and knew there would be no more stories about a boy and his bear.  But, a boy and his bear will always be playing in our memories.",A boy and his bear will always be in our memories,10,2018-01-08
26,5,A73KIZLHJ5LZ1,B0013TPY3A,"I love the ""original"" Winnie the Pooh and these books are priceless.  So happy I was able to get all four on the anniversary of Winnie the Pooh.  I ordered the hardback books so they will hold up for my grandchildren years from now.  You won't be disappointed in these books.",Original Winnie the Pooh (A.A. Milne),2,2016-11-25
27,5,A17FEZBWPDS4KJ,B0013TPY3A,"This collection is even better than its description. I can't believe that the price was so reasonable. All illustrations are in vibrant colors, within/without the box and each book cover-to-cover. The chapters come from the three books Winnie the Pooh and House at Pooh corner (both by A.A. Milne, illustrated by E.H. Shepard) and also the Return to the Hundred Acre Wood (by David Benedictus, illustrated by Mark Burgess). Each chapter book comes in its own dust jacket and the box that contains them all is so very sturdy. I am so pleased with this purchase, Egmont really outdid itself. Most importantly to my pre-preschooler, there are illustrations on every spread, sometimes on each page.",Excellent book set for an unbelievable price,2,2016-03-28
28,2,A17FEZBWPDS4KJ,B0013TPY3A,"This book doesn't fit the description of the book given, a description that fits a book the same ISBN. (Sometimes publishers put out images of books before officially deciding on the final cover.) The description given fits the book that comes in the set with:

- ribbon bookmark
- metallic ink on jacket
- a peep-through window to the full color case
- cream-colored stock

Images of the other books in the set can be found when you click on ""Look inside"" on the image of the cover of these books:
http://www.amazon.com/gp/product/0525479309?psc=1&redirect=true&ref_=oh_aui_detailpage_o00_s00

http://www.amazon.com/gp/product/0525477683?psc=1&redirect=true&ref_=oh_aui_detailpage_o00_s03

http://www.amazon.com/gp/product/0525479295?psc=1&redirect=true&ref_=oh_aui_detailpage_o00_s03

I'm giving only two stars because it was misleading and I am wasting time calling customer service, writing this review, wrapping the items back up, and then dropping them off to be sent. But they were worth the price and do look nice.",This edition doesn't fit the description,2,2016-01-09
29,5,A2S2PW6ESHF2H5,B0013TPY3A,"My kids love this book, and I have to say I agree!  So much of children's literature is poorly written and a real chore for parents to read, but this sweet classic is sure to win hearts.  Nothing scary, no questionable morals or language here, just wonderful stories of friendship and fun.  We have read the entire book several times through and I think they love it more each time!  It also appeals to a wide range of ages, so if you've got several little ones this is probably a good pick for you!",GOOD children's literature!,3,2016-01-02
30,5,A2352FEQM6HQ0M,B0015DRPWC,"It feels wrong to rate this incredibly disturbing book as a five, yet the writing is so phenomenal, I just have to...

I was enraptured by the guttural pain of Alice and even her everyday existence was so searing with despair, it became hard to turn the page and see what was next.

As a teacher, I'm not quite sure if this book fits children, and if so, what age, because as a parent and a woman, I am haunted.

Scott has penned a novel that serves its purpose, a voice that is eloquent, yet hallow of the meaning of life, explains the horrors of abuse.",Phenomenal and Dark,2,2016-09-11
31,5,A2OVSQQCIK55HF,B0016H97GO,"Are you a Christian? Are you really sure or are you following a false GOSPEL OF ""EASY BELIEVISM"" where they told you just believing is Jesus is enough. This book will help you see what true Christianity is all about and you WILL find out if you are truly saved. Think about this carefully and JUDGE YOURSELF. This book will help. Matthew 7: 21-23 21 Not everyone who says to Me, Lord, Lord, will enter the kingdom of heaven, but he who does the will of My Father who is in heaven will enter. 22 Many will say to Me on that day, Lord, Lord, did we not prophesy in Your name, and in Your name cast out demons, and in Your name perform many [a]miracles? 23 And then I will declare to them, I never knew you; depart from Me, you who practice lawlessness.",Are you a Christian? Are you really sure or ...,11,2016-02-05
32,5,A3SC0J7CHHHHKH,B000VMBYL6,I have lost 22 pounds in 6 weeks by using the recipes in this book and following the guidelines.  Awesome!  I have recommended to everyone I know who is trying to lose some weight.  It works!,Awesome! I have recommended to everyone I know who ...,12,2016-10-16
33,1,A1P00M7SDR84JY,B000VMBYL6,"Having just reviewed diet books that turned out to be little more than fluff,  I got very angry when I expected this book to deliver some real information that would be of value to helping me reverse diabetes, after making a good start on doing it after finding the Jason Fung YouTube videos and book.
The trouble begins on page 5 when we are shown the first of a set of graphs. All the graphs have two lines, one representing glucose and the other insulin. Figure 1.1 sys each unit represents 10 ulU/ml insulin or 75mg/dl glucose. Graph 2.2 the same is 10 ulU/ml insulin or 20mg/dl glucose.  Graph 2.2 is 10 ulU/ml insulin or 25mg/dl glucose. Graph 2.3 is 10 ulU/ml insulin or 100 mg/dl glucose. There is so little information on the graphs that they are essentially meaningless, even if the same scale had been the same on all of them.
Now on page 16 you are told that you can figure your body mass index on the chart 2.4.  but the chart has only height and weight boxes. Nowhere in the book are you told what to do with the height and weight figures tocompute your body mass.
The back cover says 'charts to determine your insulin resistance and check progress'  implying you will find this information in the book.  But all you get is a statement on page 27 directing you to go to a web site to do an online  'insulin resistance test'.
Having found the easy and dramatically effective information from Jason Fung that got my blood glucose reading down over 100 points in 3 days doing his;mini fasts' of no eating between meals for as little time as 5 or 6 hours, I was surprised to find on page 46 of this book the advise:
'Do eat frequent small meals, at 2-5 hour intervalsgoing long periods of time without eating only encourages more fat storage'
the book has pages with day 1,2 ND 3, Ec with about 10 blank lines to chart progress. You are directed to page 39 for information how to do this. Page 39 shows a representation of a scale with one or two circles on one side and one or two squares on the other, representing 'linking and balancing'  protein and carbs.  If you eat two each, then you have one rectangle of 'foods such as vegetables'  if you have one each you have two rectangles.
While there is a lot of test about eating fats,  the traditional last third of the book giving recipes stresses ingredients such as fat free margarine, cheese, and whipped topping '  and using 'sugar free gelatin (full of wholesome sugar substitute we were warned about earlier, and artificial color and flavor)  while we are told people who eat more dairy have less insulin resistance, but are these people eating dairy altered to remove fat ?
The book claims things such as that eating fat makes you crave more food, that you can not do anything to lose weight around your weight, and that  eating wheat is just fine, and wheat s the same as any other carbs.
I will stop here and address these last few 'facts'. This book suggests a diet very similar to what I ate all my life and got fat on, and could never lose weight until I found Atkin's.  eating more NATURAL  fats, and especially in meat, what we call fat but is actually connective tissue such as the thick skin on pork shoulder,  is what kept me from being hungry most of my life-and I almost never get hungry. It also contributed greatly to my regrowing cartlidge in a 'bone to bone' knee I was as told I could not return to normal by a doctor wanting to put in an artificial knee.
As for waist size, my personal research taught me that taking 2-4 grams of potassium citrate  twice a day ( intended to remove lead or other heavy metals from your system in 6 weeks, you will lose not weight but trim 2 sizes off your waist size in a week.  I gave a lot of friends I  knew at UFO conference the stuff  andevery one who took it  had their pants falling off by the end of the week.
As for exercise, I  also worked construction as a pipefitter for a few years and while eating a diet of protein and natural rbs similar to their 'pared' amounts touted in this book and I never lost an ounce.  In fact I never lost any weight in my life except on the Atkin's diet by first cutting back to zero carbs for a couple weeks, and adding very few back if I wanted to keep it off.
And at a time when most researchers are finding wheat is a big contributor to many of the difficult to solve health problems too many people are plagued with, it is a mystery to figure out  how these authors continue to think that eating wheat is just fine.
Anyone with health difficulties needs to cut out wheat FIRST  to find out if it is a problem for them because if it is, nothing else you do will ever work.
I believe this book tells the kind of advise that keeps people from ever getting better. I can not trust their claims that they got so many people better with what they claim works, and if I have to go on line to take tests, why buy the book?
If anyone is concerned with insulin resistance  go to YouTube and watch Jason Fung videos and get his book for results that make a difference  as dramatic as I only ever got from Atkin's before.
Most people who READ to learn about health problems will be smart enough by now to know to be very suspicious about the confusing advice given as fact in this book.","Misleading, Confusing and Inaccurate Information-",5,2016-10-06
34,5,A3UWONQTMWG6MB,B000VMBYL6,"This book was very helpful in my journey to learning about PCOS and gluten free. Since utilizing the techniques, I've lost almost 30 pounds and am keeping the weight off. I'm glad this book was recommended to me by my doctor.",I'm glad this book was recommended to me by my doctor,15,2016-07-28
35,5,A2B6LRHFNO20WD,B000W4RFBQ,"Bees are just the motif, not what the story is about.  This is a beautifully written coming-of-age story set in the American South in 1964, after President Johnson signed the Civil Right Act.  So many other topics are dealt with, including abuse.  Feminine strength is portrayed sometimes in lovely, other times inspiring, and even in humorous ways.",Feminine strength,2,2017-12-01
36,4,AKFFYVWZG8FNY,B000W4RFBQ,"I really did enjoy this book.  It is a book you need to read with your heart wide open. The only reason I gave it a 4, instead of 5 stars,is that the ending felt incomplete. I  want to know what happened 5 or 10 years down the road. I want to know how everything that happened in this story played into Lilys future. Considering that the author talks about how many people have asked for a sequel, I am thinking that I'm not the only one who feels that way.",Thought provoking,2,2017-09-05
37,1,AGW5289KFUEP9,B000W916C0,"I can't express enough my disdain for what I call ""stupid women"" books, and this is a prime example. Faced with brutal, very recent and close to home examples of why trusting a being in the sky to protect her from danger, another in a long line of brilliant but stupid women acts totally contrary to her own safety and security and has to be rescued by a man. First of all, she's an idiot. Second, she's very prideful if she thinks her faith is somehow superior to her two friends who have been attacked.

No thanks.",Another brilliant but stupid heroine.,3,2016-04-18
